"placette";"periode";"massif";"xLamb2";"yLamb2";"annee";"alt";"VIpH";"VICN";"Abies_alba";"Carpinus_betulus";"Larix_decidua";"Quercus_robur";"Vaccinium_myrtillus";"mt1";"mt7";"mt13";"bh7"
"1553";"old";"vosges";960001;2373116;1924;500;5.556532663;25.78237341;0;0;0;0;0;-0.3;17.15;8.4;-51.38396
"1554";"old";"vosges";969053;2367665;1924;500;7.013356255;17.87410023;1;0;0;0;0;0;18.25;9.25;-65.26076
"1555";"old";"vosges";966759;2361503;1924;600;6.267125099;17.78001117;0;0;0;0;0;0.2;18.25;9.3;-70.42661
"1556";"old";"vosges";969053;2367665;1924;600;5.080234506;23.04396985;1;0;0;0;0;0;18.25;9.25;-65.26076
"1557";"old";"vosges";965502;2349390;1924;750;6.619875694;20.67579835;1;0;0;0;0;0.15;17.35;8.7;-46.78655
"1560";"old";"vosges";965377;2351387;1924;350;5.539949749;19.00446678;1;1;0;0;0;0.35;18;9.15;-58.46225
"1561";"old";"vosges";971597;2369832;1924;378;5.257487437;21.39283373;1;1;0;0;1;0.3;19.1;9.85;-70.3732
"1562";"old";"vosges";964722;2340316;1924;400;4.692839196;25.85301508;1;0;0;0;1;0.6;18.5;9.6;-61.7228
"1563";"old";"vosges";958011;2350932;1924;675;5.181113903;22.15381254;1;1;0;0;1;0;17.1;8.45;-56.03912
"1564";"old";"vosges";966194;2370493;1924;700;4.337688442;27.09547739;1;0;0;0;1;-0.6;16.75;8.05;-41.52907
"1565";"old";"vosges";962561;2364249;1924;750;3.57118928;28.41160347;1;0;0;0;1;-0.35;16.8;8.2;-47.60738
"1566";"old";"vosges";962810;2360253;1924;750;4.134893216;28.92495812;1;0;0;0;1;-0.1;17.25;8.45;-41.16418
"1567";"old";"vosges";959221;2364042;1924;850;4.216080402;27.19001256;1;0;0;0;1;-0.8;15.75;7.35;-28.52487
"1569";"old";"vosges";965752;2345394;1924;550;5.629233122;14.85092127;1;0;0;0;0;0.25;17.6;8.9;-50.91676
"1570";"old";"vosges";962347;2335155;1924;600;4.878291457;19.43362647;1;0;0;0;1;0.25;17.75;9.05;-50.97163
"1571";"old";"vosges";951974;2339536;1924;900;4.230500328;22.14527181;1;0;0;0;1;-0.9;15.1;6.85;6.361282
"1572";"old";"vosges";960998;2346102;1924;550;5.26369945;17.49834539;1;0;0;0;0;0.1;17.35;8.7;-44.71438
"1573";"old";"vosges";965777;2366456;1924;550;5.151830581;13.96259073;1;0;0;0;0;-0.35;17.2;8.4;-34.00042
"1574";"old";"vosges";966947;2358506;1924;620;5.686086683;10.75004053;1;0;0;0;0;0.4;18.5;9.45;-58.59924
"1575";"old";"vosges";967781;2366582;1924;650;4.935564921;22.69719566;1;0;0;0;1;-0.1;17.95;9;-45.17133
"1576";"old";"vosges";966696;2362502;1924;650;4.904987902;21.5974316;1;0;0;0;1;0.05;17.95;9.1;-67.084
"1577";"old";"vosges";966297;2347434;1924;740;4.784757119;17.37861181;1;0;0;0;1;0.1;17.3;8.6;-49.29659
"1578";"old";"vosges";961844;2354176;1924;750;5.175227992;14.06416699;1;0;0;0;0;-0.25;16.6;8.05;-33.72491
"1579";"old";"vosges";946625;2350246;1924;900;5.158992638;13.93515195;1;0;0;0;1;-1.1;14.75;6.6;12.30064
"1580";"old";"vosges";949483;2347408;1924;1100;5.241852118;13.93421654;1;0;0;0;0;-0.95;15.15;6.85;5.457153
"1581";"old";"vosges";960333;2335031;1924;600;5.371510329;15.82842785;1;0;0;0;0;-0.05;17;8.4;-34.13651
"1582";"old";"vosges";940880;2321838;1924;600;5.608738135;15.40244078;1;0;0;0;0;-0.05;17.45;8.65;4.231194
"1583";"old";"vosges";953497;2336620;1924;650;5.875434867;15.76787785;1;0;0;0;0;-0.95;15.1;6.9;-2.866951
"1584";"old";"vosges";942871;2333984;1924;800;5.240187424;13.37437186;1;0;0;0;0;-0.4;16.5;7.95;6.835297
"1585";"old";"vosges";953142;2353644;1924;950;3.229609586;21.32779281;1;0;0;0;1;-1.05;14.7;6.55;-4.083534
"1586";"old";"vosges";949914;2351444;1924;1020;3.233389168;21.69346734;1;0;0;0;1;-1;14.95;6.75;8.01841
"1587";"old";"vosges";951863;2352564;1924;1120;3;24.11836963;1;0;0;0;1;-1.05;14.8;6.6;-2.93644
"1588";"old";"vosges";950094;2348447;1924;850;4.818938442;16.07537688;1;0;0;0;1;-0.85;15.3;7;7.17701
"1589";"old";"vosges";949304;2350405;1924;880;4.55730576;14.68886097;1;0;0;0;1;-1.1;14.75;6.6;11.22124
"159";"old";"vosges";980521;2457705;1924;235;5.003768844;15.35510888;0;0;0;1;0;0.35;17.95;9.2;-52.7545
"1590";"old";"vosges";949245;2351404;1924;1030;4.360089923;16.53154662;1;0;0;0;1;-1.05;14.75;6.6;8.01841
"1591";"old";"vosges";949424;2348407;1924;1200;4.547738693;13.99418143;0;0;0;0;1;-1;14.9;6.65;13.05431
"1592";"old";"vosges";948635;2350365;1924;1250;4.472034083;14.36637734;1;0;0;0;1;-1.1;14.75;6.6;16.68761
"1593";"old";"vosges";956364;2333785;1924;1250;4.861809045;13.68867063;0;0;0;0;1;-1;14.85;6.7;0.3793793
"1594";"old";"vosges";950856;2324430;1924;1000;5.189558906;10.55897133;1;0;0;0;0;-0.4;16.55;7.95;-11.03352
"1595";"old";"vosges";948024;2349326;1924;1100;4.644472362;14.02661455;1;0;0;0;1;-1.15;14.7;6.5;16.43039
"1596";"old";"vosges";952765;2337578;1924;1175;4.844548831;12.46683417;1;0;0;0;0;-0.9;15.1;6.9;-10.04281
"1597";"old";"vosges";949543;2346409;1924;840;5.242839196;11.90502513;1;0;0;0;0;-0.6;15.85;7.45;-0.8149033
"1598";"old";"vosges";948813;2347368;1924;1020;5.316842835;11.71221492;1;0;0;0;0;-0.95;15.15;6.85;13.46674
"01F11";"old";"vosges";975886;2396746;1965;325;5.372278057;15.72754014;1;1;0;0;1;0.15;17.75;8.95;-47.82258
"01F5";"old";"vosges";976529;2392552;1965;520;5.319304858;19.1958321;1;1;0;0;0;-0.05;17.7;8.8;-56.57972
"01F6";"old";"vosges";976529;2392552;1965;500;5.605025126;13.32635399;1;1;0;0;1;-0.05;17.7;8.8;-56.57972
"2210";"old";"vosges";976615;2391220;1967;355;6.569126884;9.698369898;0;1;0;0;0;0.05;17.95;8.95;-63.98991
"2212";"old";"vosges";975822;2389720;1967;325;5.379648241;18.63306328;1;1;0;0;0;-0.05;17.75;8.8;-61.9067
"2213";"old";"vosges";976458;2390207;1967;310;5.106306533;16.36642396;1;1;0;0;1;-0.05;17.75;8.8;-64.52527
"2215";"old";"vosges";974684;2390092;1967;425;5.60248919;15.4120603;0;1;0;0;0;-0.25;17.4;8.55;-56.53302
"2216";"old";"vosges";975674;2389710;1967;435;5.785427136;16.32535225;0;1;0;0;0;-0.05;17.75;8.8;-61.9067
"2217";"old";"vosges";975193;2397147;1967;315;5.744817839;14.58638648;1;1;0;0;0;0;17.45;8.7;-56.62205
"2219";"old";"vosges";974880;2391665;1967;375;5.243404523;14.97439579;0;0;0;0;1;-0.45;16.9;8.15;-52.86221
"2220";"old";"vosges";976579;2391775;1967;430;5.788534016;13.06687283;0;1;0;0;0;-0.05;17.75;8.85;-63.98991
"2225";"old";"vosges";976303;2390308;1967;315;4.555635319;22.56396267;1;0;0;0;1;-0.05;17.75;8.8;-64.52527
"2226";"old";"vosges";976875;2391794;1967;400;4.358877722;23.53786791;1;0;0;0;1;-0.05;17.75;8.85;-63.98991
"2227";"old";"vosges";976875;2391794;1967;395;5.077614636;17.4438861;0;0;0;0;1;-0.05;17.75;8.85;-63.98991
"2319";"old";"vosges";971035;2396100;1969;580;5.437945542;13.48241206;1;0;0;0;0;-0.65;16.05;7.6;-38.6345
"2326";"old";"vosges";971701;2393802;1969;670;4.877156051;15.72124511;1;0;0;0;1;-0.75;15.9;7.5;-26.34639
"2327";"old";"vosges";972719;2396431;1969;430;5.115979899;17.12876884;1;0;0;0;0;-0.4;16.6;8;-42.67785
"2329";"old";"vosges";976145;2392750;1969;500;5.317356011;11.98690823;1;0;0;0;0;-0.25;17.2;8.45;-56.57972
"2334";"old";"vosges";971866;2394704;1969;650;5.75921273;10.54731993;1;0;0;0;0;-0.65;16.1;7.65;-25.04055
"2335";"old";"vosges";972881;2396218;1969;380;5.456064104;11.23400788;1;0;0;0;0;-0.4;16.6;8;-42.67785
"2336";"old";"vosges";976043;2393189;1969;600;4.981658291;14.72673713;1;1;0;0;1;-0.25;17.2;8.45;-47.94082
"2337";"old";"vosges";974162;2391285;1969;400;5.548431814;13.89142139;1;0;0;0;0;-0.5;16.7;8.05;-52.86221
"2339";"old";"vosges";971485;2396017;1969;460;5.614112228;9.893076494;1;0;0;0;0;-0.65;16.05;7.6;-38.6345
"2343";"old";"vosges";972535;2396976;1969;510;4.917602719;13.12227806;1;0;0;0;0;-0.25;16.8;8.25;-46.43661
"2349";"old";"vosges";970094;2392250;1969;880;5.433852938;10.63198974;1;0;0;0;0;-1.1;15.3;6.95;-30.58256
"2351";"old";"vosges";971047;2392422;1969;785;5.409021853;11.11067241;1;0;0;0;0;-1;15.6;7.15;-34.3768
"2352";"old";"vosges";970099;2396820;1969;740;5.204314254;11.5701005;1;0;0;0;0;-0.55;16;7.6;-31.8401
"2353";"old";"vosges";970657;2392732;1969;860;5.174913027;10.80983867;1;0;0;0;0;-0.95;15.55;7.15;-30.58256
"2354";"old";"vosges";971354;2396900;1969;585;5.566099729;10.99748744;1;0;0;0;0;-0.5;16.25;7.75;-38.6345
"2355";"old";"vosges";970349;2396390;1969;780;4.751904685;13.40318258;1;0;0;0;0;-0.75;15.75;7.35;-31.8401
"2357";"old";"vosges";971758;2392914;1969;810;5.375860785;10.46559722;1;0;0;0;0;-0.85;15.8;7.35;-34.3768
"2359";"old";"vosges";974546;2394542;1969;550;4.991151409;12.02621805;0;0;0;0;0;-0.3;16.95;8.2;-40.21883
"236";"old";"vosges";975285;2391134;1969;360;5.442975748;14.39584285;1;1;0;0;1;-0.35;17.15;8.35;-59.30347
"2363";"old";"vosges";970579;2393953;1969;660;4.884924623;14.62174509;1;0;0;0;1;-0.85;15.65;7.25;-19.64941
"2366";"old";"vosges";969751;2396464;1969;815;4.576439892;13.17125628;1;0;0;0;0;-0.75;15.75;7.35;-24.63235
"2368";"old";"vosges";970827;2395863;1969;530;5.651730877;10.70423546;1;0;0;0;0;-0.65;16.05;7.6;-28.91203
"2369";"old";"vosges";971449;2396572;1969;570;5.508404089;10.85086145;1;0;0;0;0;-0.5;16.25;7.75;-38.6345
"2371";"old";"vosges";970233;2397052;1969;675;5.268922739;10.33484087;1;0;0;0;0;-0.55;16;7.6;-33.67659
"2372";"old";"vosges";971151;2395438;1969;490;5.064840331;12.58927973;1;0;0;0;0;-0.75;15.8;7.4;-31.78819
"2374";"old";"vosges";972354;2395181;1969;560;5.426298157;12.71630882;1;0;0;0;0;-0.65;16.1;7.65;-34.96044
"2375";"old";"vosges";970245;2393374;1969;750;5.146934673;10.93642124;1;0;0;0;0;-1.05;15.2;6.9;-19.64941
"2376";"old";"vosges";972208;2392831;1969;725;5.29218674;10.84623116;1;0;0;0;0;-0.85;15.8;7.35;-37.82803
"2377";"old";"vosges";973383;2393018;1969;660;4.79457633;14.15380474;1;0;0;0;0;-0.7;16.05;7.6;-33.30803
"2380";"old";"vosges";969657;2394451;1969;700;5.615631348;12.27923709;1;0;0;0;0;-1;15.3;7;-15.49001
"2381";"old";"vosges";971963;2395490;1969;475;5.590619765;10.70938023;1;0;0;0;0;-0.65;16.1;7.65;-31.78819
"2382";"old";"vosges";971498;2392340;1969;790;4.259073143;14.4427694;1;0;0;0;0;-1;15.6;7.15;-34.3768
"2383";"old";"vosges";972213;2395061;1969;590;5.314698492;12.2849665;1;0;0;0;0;-0.65;16.1;7.65;-34.96044
"239";"old";"vosges";971130;2395771;1969;490;5.352701005;12.72613065;1;0;0;0;0;-0.65;16.05;7.6;-31.78819
"241";"new";"jura";925770;2253949;1991;700;6.896984925;7.302512563;0;0;0;0;0;-0.6;16.5;7.7;-15.51302
"242";"new";"jura";925903;2254291;1991;450;6.895530283;7.420156337;0;0;0;0;0;-0.6;16.5;7.7;-20.28546
"2810";"old";"vosges";984166;2464640;1978;290;4.77160804;22.44974874;0;1;0;0;0;0.3;17.95;9.1;-51.65995
"2813";"old";"vosges";980385;2465280;1978;300;3.407663317;29.63442211;0;0;0;0;1;0.35;17.85;9.15;-52.26607
"2818";"old";"vosges";980555;2462726;1978;300;3.173366834;29.84559159;0;0;0;0;1;0.35;17.9;9.2;-53.49329
"2819";"old";"vosges";976985;2459033;1978;250;3.868628859;29.23965984;0;0;0;0;1;0.25;17.75;9.05;-52.1424
"2830";"old";"vosges";965296;2453705;1978;330;4.925945517;12.10632108;0;0;0;0;0;0.15;17.35;8.85;-47.64906
"2831";"old";"vosges";969007;2451935;1978;360;4.651913413;12.17049533;0;0;0;0;0;0.05;17.3;8.7;-46.87605
"2832";"old";"vosges";965664;2442133;1978;340;4.781742044;12.38850503;0;1;0;0;0;0;17.35;8.8;-47.67501
"2839";"old";"vosges";967236;2444017;1978;360;4.543486664;13.58214148;0;0;0;0;0;0.05;17.45;8.85;-49.72947
"2842";"old";"vosges";965296;2453705;1978;300;3.756281407;15.89858383;0;0;0;0;0;0.15;17.35;8.85;-47.64906
"2844";"old";"vosges";984166;2464640;1978;280;4.570194724;11.67750517;0;0;0;0;0;0.3;17.95;9.1;-51.65995
"285";"old";"vosges";980766;2463967;1978;320;3.055276382;23.47613065;0;0;0;0;1;0.35;17.9;9.15;-51.95461
"2852";"old";"vosges";966276;2461350;1978;360;4.384673367;13.48241206;0;0;0;0;0;0.25;17.5;8.9;-48.36261
"2853";"old";"vosges";983933;2463732;1978;320;3.939698492;14.20268007;0;0;0;0;0;0.35;18;9.25;-52.15975
"46100";"old";"massif central";688104;1928938;1963;460;7.948437841;26.7281407;0;0;0;0;0;0.95;17.9;8.95;-73.09476
"46101";"old";"massif central";669311;1903677;1963;650;7.95908112;22.04559836;0;0;0;0;0;1.5;17.85;9.2;-97.42758
"46102";"old";"massif central";684521;1928333;1963;450;8.006460876;26.75473521;0;0;0;0;0;0.9;17.65;8.8;-85.04871
"46103";"old";"massif central";680666;1911598;1963;630;8.055814788;23.3971782;0;0;0;0;0;0.45;16.25;7.7;-79.68903
"46104";"old";"massif central";681666;1926960;1963;550;8.024142451;24.21767931;0;0;0;0;0;1.2;17.75;8.95;-78.71042
"46105";"old";"massif central";673084;1923629;1963;660;8.031352414;23.56616415;0;0;0;0;0;0.65;17.2;8.5;-80.99203
"46106";"old";"massif central";678257;1912235;1963;690;8.079285315;28.94759512;0;0;0;0;0;0.85;16.65;8.05;-87.12218
"46107";"old";"massif central";680584;1911709;1963;810;8.081063211;29.44694059;0;0;0;0;0;0.45;16.25;7.7;-79.68903
"46108";"old";"massif central";672684;1923736;1963;550;8.104221106;18.97281864;0;0;0;0;0;0.65;17.2;8.5;-78.35934
"4611";"old";"massif central";674110;1911184;1963;375;7.046813012;12.70212172;0;0;0;0;0;0.95;17.1;8.5;-79.34196
"46110";"old";"massif central";663360;1913847;1963;500;7.829242366;22.6568258;0;0;0;0;0;1.45;18.55;9.7;-84.83041
"46111";"old";"massif central";663360;1913847;1963;500;7.620343095;23.50214033;0;0;0;0;0;1.45;18.55;9.7;-84.83041
"46112";"old";"massif central";675223;1911753;1963;490;7.979899497;29.24599186;0;0;0;0;0;1;16.95;8.4;-78.18378
"46113";"old";"massif central";681224;1911717;1963;565;8.322790423;28.09484925;0;0;0;0;0;0.45;16.25;7.7;-79.2113
"46114";"old";"massif central";678426;1911570;1963;550;8.29879397;21.70328917;0;0;0;0;0;0.85;16.65;8.05;-77.49213
"46115";"old";"massif central";673083;1923740;1963;750;8.16281407;26.51372246;0;0;0;0;0;0.65;17.2;8.5;-80.99203
"46118";"old";"massif central";669162;1902674;1963;440;8.087401292;15.68250343;0;0;0;0;0;1.7;18;9.35;-91.02536
"46119";"old";"massif central";684129;1927771;1963;520;8.093718593;16.55555556;0;0;0;0;0;1.1;17.8;8.95;-72.69979
"4612";"old";"massif central";665637;1910311;1963;320;6.98288741;12.10790061;0;0;0;0;0;1.75;18.5;9.7;-81.97515
"46120";"old";"massif central";680261;1924495;1963;450;8.078153928;22.65947384;0;0;0;0;0;1.1;17.6;8.85;-78.61916
"46121";"old";"massif central";670338;1912142;1963;400;8.034099067;18.36222781;0;0;0;0;0;1.35;18.25;9.5;-86.7325
"46122";"old";"massif central";684129;1927771;1963;520;8.242043551;23.125;0;0;0;0;0;1.1;17.8;8.95;-72.69979
"46123";"old";"massif central";665115;1914310;1963;720;7.037081962;17.77077696;0;0;0;0;0;1.25;18.3;9.5;-88.73355
"46124";"old";"massif central";665356;1914201;1963;805;6.835427136;19.97619677;0;0;0;0;0;1.25;18.3;9.5;-88.73355
"46125";"old";"massif central";655447;1922336;1963;820;5.966499162;26.44723618;0;0;0;0;0;0.05;16.9;8.2;-73.55894
"46126";"old";"massif central";668666;1904115;1963;820;7.655778894;34.92238973;0;0;0;0;0;1.5;17.85;9.2;-90.54337
"46127";"old";"massif central";669309;1903900;1963;730;7.91959799;29.37263239;0;0;0;0;0;1.5;17.85;9.2;-97.42758
"46128";"old";"massif central";669469;1911131;1963;550;7.713374565;23.73422669;0;0;0;0;0;1.5;18.3;9.65;-95.87796
"4613";"old";"massif central";667614;1934689;1963;620;7.297365204;12.97433112;0;0;0;0;0;1.15;17.9;9.05;-77.83633
"46130";"old";"massif central";671074;1910704;1963;690;7.597152429;19.93395549;0;0;0;0;0;1.25;17.9;9.25;-83.64185
"46132";"old";"massif central";669996;1914140;1963;780;7.992148241;25.03440278;0;0;0;0;0;0.9;17.6;8.95;-83.37724
